0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,TARGET
-15.0,20.0,26.0,17.0,117.0,-1.0999212127012215,-0.3666957676000713,0.13630678402231028,-0.7773216259196505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
35.0,87.0,-17.0,54.0,38.0,-0.5077977875158884,-0.7746669918498982,-0.8791065294427951,-1.1592312771081734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
82.0,75.0,116.0,87.0,130.0,-0.21986776283540552,0.15787458989586728,0.38698206187982775,0.1502544391524009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
133.0,138.0,87.0,124.0,61.0,0.37199192425998856,-0.1575563925792519,-0.48425832930322343,-0.10937785783468967,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
-17.0,23.0,17.0,16.0,109.0,-1.0999660544659606,-0.43626815887669823,0.0280728442245452,-0.8693152389988634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
85.0,95.0,79.0,90.0,91.0,-0.1250940586045104,-0.14039387594818378,-0.13807029947158445,-0.2188823108362758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
152.0,152.0,97.0,138.0,56.0,0.5539766571033096,-0.1135969141892762,-0.5328152993453654,-0.002862001402428871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
-52.0,40.0,-102.0,-9.0,22.0,-1.286312991070807,-1.2751356590011693,-1.157536210351692,-2.0279394106397692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
-92.0,6.0,-115.0,-38.0,41.0,-1.686920928791409,-1.3008030709824157,-0.9400037617164217,-2.168411963431435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
105.0,100.0,111.0,104.0,106.0,0.04376457011828671,0.07662139895955716,0.09110399804318156,0.11293993166395987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
114.0,104.0,122.0,110.0,110.0,0.11593432214995128,0.14799808531160946,0.15579037279672858,0.22649989935163922,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,43.0,66.0,47.0,124.0,-0.7264132762969805,-0.1337378475798613,0.25875994516932355,-0.36999717809202753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
